yearID,franchID,name,G,SO
1896,PIT,Pittsburgh Pirates,131,286.0
1896,STL,St. Louis Browns,131,300.0
1896,WAS,Washington Senators,133,365.0
1897,BLO,Baltimore Orioles,136,255.0
1897,LAD,Brooklyn Bridegrooms,136,251.0
1897,ATL,Boston Beaneaters,135,263.0
1897,CHC,Chicago Colts,138,327.0
1897,CIN,Cincinnati Reds,134,216.0
1897,CLV,Cleveland Spiders,130,348.0
1897,LOU,Louisville Colonels,135,445.0
1897,SFG,New York Giants,137,330.0
1897,PHI,Philadelphia Phillies,133,302.0
1897,PIT,Pittsburgh Pirates,134,333.0
1897,STL,St. Louis Browns,133,314.0
1897,WAS,Washington Senators,133,345.0
1898,BLO,Baltimore Orioles,153,316.0
1898,LAD,Brooklyn Bridegrooms,149,316.0
1898,ATL,Boston Beaneaters,152,303.0
1898,CHC,Chicago Orphans,152,387.0
1898,CIN,Cincinnati Reds,157,297.0
1898,CLV,Cleveland Spiders,156,303.0
1898,LOU,Louisville Colonels,154,424.0
1898,SFG,New York Giants,156,369.0
1898,PHI,Philadelphia Phillies,150,380.0
1898,PIT,Pittsburgh Pirates,152,339.0
1898,STL,St. Louis Browns,154,405.0
1898,WAS,Washington Senators,155,384.0
1899,BLO,Baltimore Orioles,151,381.0
1899,LAD,Brooklyn Superbas,148,263.0
1899,ATL,Boston Beaneaters,153,266.0
1899,CHC,Chicago Orphans,152,346.0
1899,CIN,Cincinnati Reds,157,296.0
1899,CLV,Cleveland Spiders,154,280.0
1899,LOU,Louisville Colonels,156,372.0
1899,SFG,New York Giants,152,357.0
1899,PHI,Philadelphia Phillies,154,337.0
1899,PIT,Pittsburgh Pirates,155,344.0
1899,STL,St. Louis Perfectos,155,264.0
1899,WAS,Washington Senators,155,343.0
1900,LAD,Brooklyn Superbas,141,269.0
1900,ATL,Boston Beaneaters,142,270.0
1900,CHC,Chicago Orphans,146,375.0
1900,CIN,Cincinnati Reds,144,408.0
1900,SFG,New York Giants,141,345.0
